Rank,Median Household Income,Zip , Population
843,56683,95488 ,309
844,56671,95076 ,"84,587"
845,56667,95720 ,60
846,56651,95834 ,"23,986"
847,56646,95355 ,"59,955"
848,56632,91803 ,"30,586"
849,56607,90660 ,"63,686"
849,56607,95549 ,869
851,56567,93015 ,"17,423"
852,56563,96009 ,329
853,56541,95973 ,"33,511"
854,56394,95937 ,"1,133"
855,56378,94609 ,"22,059"
856,56337,90046 ,"51,329"
857,56277,92392 ,"56,461"
858,56250,95636 ,771
858,56250,95830 ,762
860,56245,90717 ,"21,612"
861,56219,90621 ,"35,478"
862,56154,94589 ,"30,811"
863,56101,95690 ,"1,932"
864,56081,95547 ,"1,347"
865,56059,90241 ,"43,596"
866,56049,95603 ,"28,652"
867,55996,95726 ,"8,566"
868,55959,94608 ,"26,323"
869,55947,92505 ,"49,064"
870,55882,90704 ,"3,952"
871,55878,95623 ,"4,317"
872,55865,94565 ,"87,395"
873,55833,95010 ,"9,367"
874,55827,95833 ,"39,117"
875,55801,93117 ,"55,064"
876,55750,92239 ,428
877,55710,95667 ,"36,639"
878,55656,95670 ,"52,886"
879,55635,92111 ,"47,590"
880,55599,95320 ,"12,739"
881,55530,92078 ,"45,926"
882,55500,95323 ,998
883,55355,95987 ,"5,979"
884,55256,95608 ,"60,729"
885,55250,95045 ,"3,969"
886,55238,91343 ,"61,976"
887,55217,91340 ,"35,455"
888,55210,93033 ,"82,263"
889,55169,92365 ,"1,953"
890,55111,90814 ,"18,789"
891,55082,93906 ,"63,529"
892,55069,92567 ,"9,469"
893,55051,92503 ,"92,959"
894,55000,95653 ,565
895,54980,93436 ,"55,176"
896,54966,92116 ,"32,943"
897,54945,93001 ,"32,360"
897,54945,93101 ,"32,860"
899,54792,95379 ,"3,837"
900,54782,93060 ,"33,836"
901,54769,91702 ,"60,475"
901,54769,93532 ,"2,419"
903,54688,96029 ,165
904,54640,91910 ,"76,797"
905,54630,90710 ,"27,550"
906,54565,92081 ,"28,843"
907,54527,96130 ,"21,920"
908,54444,95659 ,775
909,54422,92805 ,"70,839"
910,54381,93722 ,"80,455"
911,54372,94509 ,"63,351"
912,54366,95326 ,"9,487"
913,54327,95714 ,284
914,54205,93451 ,"4,187"
915,54034,95565 ,"1,092"
916,54003,94063 ,"31,881"
917,54000,92397 ,"4,616"
918,53955,93933 ,"22,696"
919,53820,92026 ,"49,981"
920,53807,92359 ,"8,298"
921,53750,93541 ,651
922,53677,90740 ,"24,288"
923,53652,95407 ,"40,657"
924,53648,95826 ,"38,378"
925,53571,93432 ,798
926,53559,92683 ,"91,204"
927,53473,92027 ,"56,892"
928,53466,95363 ,"26,087"
929,53456,93523 ,"3,378"
930,53419,96008 ,"1,128"
931,53389,94535 ,"4,543"
932,53385,93667 ,"2,089"
933,53368,95436 ,"5,582"
934,53281,95666 ,"5,533"
935,53250,96146 ,823
936,53235,95357 ,"11,353"
937,53214,95936 ,244
938,53194,95612 ,"1,045"
939,53150,94133 ,"27,662"
940,53059,92841 ,"32,839"
941,53056,95564 ,500
942,53054,92249 ,"7,147"
943,53008,93230 ,"66,316"
944,53002,95816 ,"16,845"
945,52906,93401 ,"27,920"
946,52841,95701 ,718
946,52841,96148 ,781
948,52813,95401 ,"38,604"
949,52794,90065 ,"46,254"
950,52579,93442 ,"10,998"
951,52564,93454 ,"37,362"
952,52536,92843 ,"44,468"
953,52517,91755 ,"27,305"
954,52500,96063 ,222
955,52457,92069 ,"47,130"
956,52420,93955 ,"34,084"
957,52408,92804 ,"85,969"
958,52376,91945 ,"26,027"
959,52371,93041 ,"23,998"
960,52354,91942 ,"39,438"
961,52329,93430 ,"2,735"
962,52314,92101 ,"35,893"
963,52292,95684 ,"2,980"
964,52279,96107 ,"1,077"
965,52274,91607 ,"29,591"
965,52274,95695 ,"38,790"
967,52233,93927 ,"17,697"
968,52203,93306 ,"68,910"
969,52173,94806 ,"60,101"
970,52154,96022 ,"17,488"
971,52143,95461 ,"3,318"
972,52123,93527 ,"1,914"
973,52077,91206 ,"33,706"
974,52015,95012 ,"10,470"
975,52000,93544 ,951
976,51992,94514 ,"1,174"
977,51976,94305 ,"13,538"
978,51956,90248 ,"9,936"
979,51935,90670 ,"15,594"
980,51927,95222 ,"5,228"
981,51921,94937 ,970
982,51908,95943 ,805
983,51875,95412 ,352
984,51869,95971 ,"5,798"
985,51827,95621 ,"41,474"
986,51806,95312 ,276
987,51769,90260 ,"35,854"
988,51702,92407 ,"60,118"
989,51667,92036 ,"2,977"
990,51618,95420 ,442
991,51520,93453 ,"3,486"
992,51500,92394 ,"34,479"
993,51427,90042 ,"61,034"
994,51398,91335 ,"77,952"
995,51389,95450 ,228
996,51365,92802 ,"43,743"
997,51345,91331 ,"102,367"
998,51341,93292 ,"38,825"
999,51286,95324 ,"7,733"
1000,51280,93245 ,"37,062"
1001,51250,93514 ,"14,472"
1001,51250,93526 ,714
1001,51250,93603 ,274
1004,51234,91706 ,"77,692"
1005,51225,91801 ,"53,792"
1006,51116,92571 ,"54,825"
1007,51105,91786 ,"52,152"
1008,51060,91764 ,"54,078"
1009,51056,93277 ,"51,849"
1010,51044,93926 ,"9,128"
1011,50996,90249 ,"27,451"
1012,50858,93614 ,"10,865"
1013,50854,95673 ,"14,773"
1014,50833,93291 ,"54,899"
1015,50764,95912 ,"4,550"
1016,50744,92371 ,"14,729"
1017,50740,95334 ,"16,330"
1018,50707,91762 ,"56,148"
1019,50595,93529 ,589
1020,50568,92054 ,"42,992"
1021,50536,95610 ,"43,572"
1022,50528,95827 ,"20,294"
1023,50526,91201 ,"22,985"
1024,50500,95466 ,913
1024,50500,95570 ,"2,083"
1026,50455,93604 ,874
1027,50449,92551 ,"33,050"
1028,50446,95233 ,591
1029,50401,92084 ,"48,275"
1030,50381,91406 ,"53,528"
1031,50316,90027 ,"46,025"
1032,50309,92260 ,"32,855"
1033,50290,93210 ,"21,303"
1034,50227,95536 ,"3,078"
1035,50051,95519 ,"18,496"
1036,50047,92703 ,"69,890"
1037,50035,92021 ,"66,854"
1038,50000,93445 ,"7,168"
1039,49928,92310 ,"9,191"
1040,49851,92020 ,"58,305"
1041,49786,90731 ,"62,348"
1042,49785,93657 ,"35,653"
1043,49732,96016 ,532
1044,49708,95346 ,"1,541"
1045,49688,95340 ,"34,745"
1046,49594,94124 ,"35,201"
1047,49567,95358 ,"31,709"
1048,49552,92530 ,"51,816"
1049,49545,95469 ,"1,960"
1050,49541,94804 ,"40,941"
1051,49491,93901 ,"26,438"
1052,49470,95460 ,"2,338"
1053,49454,95112 ,"57,503"
1054,49423,92590 ,"3,841"
1055,49418,93433 ,"13,337"
1056,49360,90706 ,"77,455"
1057,49206,91767 ,"49,027"
1058,49121,93637 ,"40,101"
1059,49095,94578 ,"38,629"
1060,49088,91352 ,"46,874"
1061,49087,90810 ,"36,736"
1062,49063,96117 ,244
1063,49056,91763 ,"37,432"
1064,48994,91401 ,"40,503"
1065,48950,96137 ,"3,606"
1066,48940,95665 ,"4,862"
1067,48912,95370 ,"26,904"
1068,48896,91766 ,"71,851"
1069,48891,91911 ,"83,710"
1070,48839,95556 ,655
1071,48788,92316 ,"31,720"
1072,48733,92104 ,"44,590"
1073,48681,95503 ,"24,900"
1074,48617,93643 ,"2,724"
1075,48610,92501 ,"22,216"
1076,48510,95369 ,977
1077,48500,95977 ,"1,887"
1078,48488,95301 ,"38,007"
1079,48470,93221 ,"15,391"
1080,48461,93704 ,"26,009"
1081,48443,95988 ,"8,913"
1082,48345,92844 ,"24,314"
1083,48302,91776 ,"37,378"
1084,48287,95247 ,"4,689"
1085,48285,95675 ,309
1086,48147,92055 ,"12,725"
1087,48142,95525 ,"1,668"
1088,48117,91932 ,"26,257"
1089,48063,93553 ,"1,975"
1090,47882,93654 ,"31,575"
1091,47868,95386 ,"10,066"
1092,47833,93513 ,"1,584"
1093,47796,90680 ,"30,770"
1094,47692,95338 ,"11,075"
1095,47679,96090 ,397
1096,47672,92801 ,"63,883"
1097,47656,94520 ,"38,743"
1098,47644,96113 ,"2,294"
1099,47625,96032 ,"2,339"
1100,47622,90602 ,"26,676"
1101,47500,95979 ,685
1101,47500,96150 ,"28,618"
1103,47440,96088 ,"4,099"
1104,47436,90640 ,"63,400"
1105,47413,95116 ,"52,597"
1106,47394,92325 ,"8,318"
1107,47369,93309 ,"60,631"
1108,47308,90010 ,"3,792"
1109,47202,91601 ,"38,781"
1110,47177,91768 ,"36,454"
1111,47098,93960 ,"27,212"
1112,47078,91770 ,"63,119"
1113,47031,93429 ,114
1113,47031,95955 ,"1,384"
1115,46827,95635 ,870
1116,46667,95652 ,"1,010"
1117,46655,92058 ,"45,685"
1118,46615,93268 ,"16,890"
1119,46575,95237 ,"2,999"
1120,46519,92262 ,"26,693"
1121,46518,92314 ,"10,572"
1122,46497,96003 ,"44,398"
1123,46453,95932 ,"7,808"
1124,46441,95961 ,"26,979"
1125,46435,90026 ,"67,986"
1126,46422,96001 ,"34,469"
1127,46394,93727 ,"73,671"
1128,46392,95953 ,"10,631"
1129,46319,95494 ,188
1130,46318,96067 ,"6,994"
1131,46250,91759 ,369
1131,46250,95230 ,635
1133,46187,91303 ,"27,827"
1134,46121,93653 ,"1,357"
1135,46073,92083 ,"36,604"
1136,45953,95482 ,"33,157"
1137,45947,95321 ,"3,461"
1138,45906,95928 ,"36,081"
1139,45889,92311 ,"32,831"
1140,45877,93040 ,"2,037"
1141,45871,95919 ,"1,529"
1142,45769,95698 ,219
1143,45766,90250 ,"95,223"
1144,45729,95551 ,"1,826"
1145,45631,95307 ,"42,470"
1146,45625,91934 ,293
1147,45591,93274 ,"71,430"
1148,45588,95389 ,"1,312"
1149,45568,92655 ,"9,139"
1150,45551,93222 ,"1,681"
1151,45509,95257 ,385
1152,45485,93656 ,"7,194"
1153,45474,90220 ,"50,222"
1154,45439,95828 ,"61,490"
1155,45433,92025 ,"49,734"
1156,45392,95451 ,"12,035"
1157,45332,95616 ,"48,106"
1158,45313,93276 ,176
1159,45299,95453 ,"10,345"
1160,45268,96051 ,"1,110"
1161,45208,90032 ,"47,309"
1162,45197,90805 ,"94,561"
1163,45191,93434 ,"7,178"
1164,45147,92339 ,997
1165,45056,93635 ,"39,439"
1166,44984,90802 ,"38,816"
1167,44965,92376 ,"85,647"
1168,44902,95327 ,"8,679"
1169,44792,95303 ,"1,019"
1170,44771,95315 ,"12,381"
1171,44724,91203 ,"13,740"
1172,44629,90804 ,"40,679"
1173,44583,96024 ,"1,163"
1174,44554,95528 ,"1,273"
1174,44554,96093 ,"4,006"
1176,44542,95842 ,"31,671"
1177,44531,90040 ,"12,830"
1178,44500,95917 ,"3,508"
1179,44464,95681 ,"1,475"
1180,44423,95948 ,"10,349"
1181,44417,94929 ,82
1182,44412,95468 ,"1,192"
1183,44392,95822 ,"42,907"
1184,44348,96056 ,"1,407"
1185,44333,95550 ,269
1186,44250,96118 ,"1,590"
1187,44223,93644 ,"7,434"
1188,44111,93225 ,"5,572"
1189,44028,96035 ,"3,604"
1190,44010,92536 ,"2,750"
1191,44000,95374 ,"1,847"
1192,43981,95642 ,"6,619"
1193,43971,96105 ,165
1194,43917,92276 ,"7,921"
1195,43913,93271 ,"2,278"
1196,43854,95471 ,528
1197,43803,93458 ,"56,514"
1198,43785,90806 ,"43,140"
1199,43784,90723 ,"54,813"
1200,43758,91411 ,"24,146"
1201,43750,93954 ,246
1201,43750,96119 ,71
1203,43707,91605 ,"56,060"
1204,43703,92264 ,"19,754"
1205,43657,96002 ,"33,202"
1206,43638,92225 ,"23,509"
1207,43594,95459 ,596
1208,43564,95446 ,"4,419"
1209,43526,90280 ,"95,515"
1210,43442,93662 ,"30,700"
1211,43430,96027 ,"2,462"
1212,43372,95204 ,"29,246"
1213,43355,95736 ,250
1214,43345,92308 ,"39,953"
1215,43333,92070 ,"1,193"
1216,43322,93609 ,"5,843"
1217,43295,92066 ,273
1217,43295,95589 ,"1,226"
1219,43264,92250 ,"8,461"
1220,43244,90019 ,"67,606"
1221,43170,92234 ,"52,534"
1222,43165,95991 ,"41,212"
1223,43092,92335 ,"99,580"
1224,43036,92372 ,"5,929"
1224,43036,95601 ,161
1226,42984,92553 ,"73,803"
1227,42968,90247 ,"47,374"
1228,42857,96142 ,731
1229,42844,93710 ,"33,114"
1230,42835,93535 ,"73,282"
1231,42829,95457 ,"3,331"
1232,42828,92115 ,"61,718"
1233,42807,93905 ,"60,887"
1234,42778,95945 ,"25,223"
1235,42753,90221 ,"53,657"
1236,42711,92227 ,"26,818"
1237,42708,95039 ,"1,545"
1238,42698,92570 ,"56,766"
1239,42677,95388 ,"14,410"
1240,42655,95540 ,"13,012"
1241,42627,96064 ,"4,762"
1242,42619,96084 ,530
1243,42614,95311 ,"2,073"
1244,42576,95645 ,"2,110"
1245,42545,95629 ,"1,002"
1246,42517,92284 ,"25,045"
1247,42500,94971 ,362
1247,42500,95568 ,94
1247,42500,96132 ,103
1250,42454,93930 ,"16,843"
1251,42433,96020 ,"2,246"
1252,42404,95206 ,"65,324"
1253,42366,95333 ,"3,064"
1254,42323,92345 ,"81,049"
1255,42319,95901 ,"32,742"
1256,42303,93630 ,"18,990"
1257,42299,95383 ,"3,728"
1258,42273,93224 ,429
1258,42273,95950 ,724
1260,42250,93625 ,"7,068"
1261,42237,93549 ,334
1262,42228,95832 ,"11,908"
1263,42222,93641 ,233
1264,42213,95360 ,"11,756"
1265,42212,92320 ,"8,097"
1266,42206,92243 ,"48,615"
1267,42195,91606 ,"45,467"
1268,42084,92544 ,"47,136"
1269,42083,93450 ,814
1270,42057,90262 ,"70,650"
1271,41982,95969 ,"27,443"
1272,41964,92268 ,605
1273,41888,95942 ,"1,098"
1274,41772,96094 ,"6,370"
1275,41737,93308 ,"54,132"
1276,41615,95660 ,"33,014"
1277,41612,94103 ,"24,108"
1278,41579,93286 ,"9,942"
1279,41578,90744 ,"58,061"
1280,41575,92102 ,"44,893"
1281,41536,92617 ,"15,805"
1282,41522,96124 ,366
1283,41488,93206 ,"2,196"
1283,41488,93405 ,"34,833"
1285,41485,91732 ,"63,849"
1286,41458,95249 ,"3,796"
1287,41393,95553 ,"1,173"
1288,41278,92324 ,"58,013"
1289,41202,92315 ,"5,236"
1290,41187,90302 ,"30,219"
1291,41136,95531 ,"24,202"
1292,41103,95328 ,"4,717"
1293,41051,92507 ,"55,156"
1294,41042,95345 ,448
1294,41042,96076 ,88
1296,41016,96101 ,"5,260"
1297,40962,94603 ,"32,306"
1298,40930,91733 ,"43,790"
1299,40903,95348 ,"31,387"
1300,40897,92236 ,"43,037"
1301,40833,93263 ,"20,204"
1302,40826,94590 ,"34,859"
1303,40807,90303 ,"26,453"
1304,40781,96028 ,"1,633"
1305,40775,95966 ,"30,916"
1306,40753,95215 ,"23,764"
1307,40747,96055 ,"4,097"
1308,40732,95322 ,"8,727"
1309,40730,95820 ,"34,529"
1310,40545,95954 ,"12,535"
1311,40528,90047 ,"46,999"
1312,40500,95563 ,559
1313,40461,95350 ,"50,676"
1314,40455,96019 ,"10,129"
1315,40341,94576 ,87
1316,40340,96143 ,"3,855"
1317,40208,91502 ,"12,605"
1318,40181,95562 ,"3,435"
1319,40179,93251 ,229
1320,40119,92545 ,"41,078"
1321,40109,93242 ,"3,230"
1322,40079,92230 ,"3,297"
1323,40056,90222 ,"32,362"
1324,40024,92201 ,"63,915"
1325,40021,95240 ,"47,297"
1326,39917,92220 ,"32,793"
1327,39880,93591 ,"6,558"
1328,39756,96021 ,"16,121"
1329,39753,91204 ,"16,292"
1330,39743,95380 ,"41,069"
1331,39622,91963 ,"1,043"
1332,39601,94601 ,"49,990"
1333,39551,93257 ,"75,390"
1334,39533,91950 ,"61,262"
1335,39528,92583 ,"31,167"
1336,39485,95963 ,"15,018"
1337,39481,95838 ,"35,935"
1338,39464,92548 ,"7,020"
1339,39409,92252 ,"9,228"
1340,39375,95646 ,98
1341,39288,96080 ,"27,650"
1342,39219,95306 ,952
1343,39206,90063 ,"54,353"
1343,39206,93280 ,"27,390"
1345,39167,95717 ,199
1346,39110,95246 ,"1,258"
1347,39060,92701 ,"52,588"
1348,39055,90716 ,"14,358"
1349,39051,90022 ,"69,516"
1349,39051,93610 ,"24,151"
1351,39013,96092 ,277
1352,39009,91402 ,"70,781"
1353,38907,96007 ,"22,942"
1354,38889,96038 ,599
1355,38856,94801 ,"29,269"
1356,38853,92539 ,"3,890"
1357,38777,95821 ,"34,439"
1358,38767,92404 ,"60,501"
1359,38750,94956 ,"1,687"
1359,38750,95456 ,600
1359,38750,95641 ,"1,732"
1359,38750,96068 ,135
1363,38738,90043 ,"43,118"
1364,38733,93202 ,"3,486"
1365,38709,92395 ,"42,481"
1366,38690,95728 ,495
1367,38665,93668 ,"1,215"
1368,38636,95916 ,"1,291"
1369,38563,95207 ,"48,748"
1370,38510,95210 ,"40,820"
1371,38502,93550 ,"74,203"
1372,38500,96057 ,"1,332"
1373,38493,90004 ,"63,547"
1374,38491,95019 ,"7,374"
1375,38464,95841 ,"19,361"
1376,38438,96017 ,234
1377,38359,93673 ,910
1378,38276,95437 ,"14,351"
1379,38269,93618 ,"29,628"
1380,38255,95605 ,"14,326"
1381,38229,92333 ,640
1382,38175,95501 ,"23,769"
1383,38162,91405 ,"53,406"
1384,38089,96013 ,"3,881"
1385,38077,94130 ,"3,083"
1386,38050,90016 ,"47,786"
1387,37813,90301 ,"36,714"
1388,37727,96044 ,"1,040"
1389,37703,95410 ,886
1390,37692,95490 ,"12,905"
1391,37672,95811 ,"7,131"
1392,37663,95910 ,115
1393,37631,95385 ,515
1394,37591,92405 ,"29,526"
1395,37500,95310 ,"1,934"
1395,37500,95951 ,"2,948"
1397,37461,95935 ,594
1398,37414,91205 ,"38,138"
1399,37382,95825 ,"31,083"
1400,37321,95449 ,"1,583"
1401,37316,92277 ,"24,112"
1402,37296,95926 ,"38,276"
1403,37288,94606 ,"37,001"
1404,37264,95203 ,"15,711"
1405,37235,96134 ,"2,506"
1406,37207,93612 ,"34,814"
1407,37188,92322 ,911
1408,37150,92391 ,"3,001"
1409,37121,90020 ,"39,102"
1410,37083,95462 ,"1,216"
1411,37082,90023 ,"45,886"
1412,37013,90201 ,"102,515"
1413,36955,91731 ,"29,209"
1414,36893,92105 ,"71,334"
1415,36890,93638 ,"49,761"
1416,36875,94108 ,"13,930"
1416,36875,96065 ,387
1416,36875,96071 ,77
1419,36845,94511 ,"2,158"
1420,36838,92309 ,916
1421,36778,90304 ,"26,936"
1422,36737,92637 ,"16,284"
1423,36731,95823 ,"73,641"
1424,36678,95255 ,"1,991"
1425,36563,95567 ,"1,854"
1426,36500,92004 ,"2,624"
1427,36450,90270 ,"27,663"
1428,36447,96059 ,711
1429,36429,96040 ,229
1430,36406,93244 ,340
1431,36394,92586 ,"19,384"
1432,36321,93215 ,"56,028"
1433,36310,96069 ,880
1434,36254,95354 ,"24,356"
1435,36201,95445 ,"1,522"
1436,36196,95454 ,"2,135"
1437,36180,90008 ,"33,012"
1438,36167,95231 ,"4,961"
1439,36000,95558 ,360
1440,35985,90255 ,"76,206"
1441,35750,95595 ,180
1442,35745,92173 ,"31,518"
1443,35635,93725 ,"26,879"
1444,35634,95542 ,"2,718"
1445,35607,95573 ,"1,433"
1446,35603,92327 ,"1,202"
1447,35600,93534 ,"39,120"
1448,35476,95313 ,"1,006"
1449,35429,93203 ,"21,784"
1450,35315,92240 ,"35,878"
1451,35253,90029 ,"40,161"
1452,35220,95965 ,"20,599"
1453,35150,93304 ,"51,607"
1454,34961,93250 ,"13,925"
1455,34945,96122 ,"4,382"
1456,34911,95527 ,553
1457,34896,92241 ,"9,156"
1458,34869,93620 ,"10,028"
1459,34845,95817 ,"14,472"
1460,34783,92386 ,"1,949"
1461,34769,93452 ,721
1462,34750,92328 ,281
1462,34750,93207 ,263
1464,34733,92231 ,"39,675"
1465,34732,95351 ,"48,437"
1466,34688,96111 ,69
1467,34656,90031 ,"39,333"
1468,34643,95415 ,"1,591"
1469,34583,95552 ,587
1470,34566,90061 ,"28,641"
1471,34565,93212 ,"25,204"
1472,34537,92301 ,"32,667"
1473,34505,93247 ,"18,932"
1473,34505,93272 ,"3,438"
1475,34500,95947 ,"1,663"
1476,34464,96050 ,408
1477,34358,93307 ,"84,184"
1478,34192,94607 ,"24,830"
1479,34191,96048 ,977
1480,34063,92282 ,783
1480,34063,95735 ,30
1482,34050,90001 ,"56,314"
1483,33850,90038 ,"28,798"
1484,33813,93665 ,612
1485,33750,92408 ,"15,318"
1486,33678,90059 ,"42,470"
1487,33600,93624 ,"1,359"
1488,33582,92356 ,"6,293"
1489,33375,92086 ,"1,335"
1490,33373,95814 ,"10,076"
1491,33357,95205 ,"36,928"
1492,33333,96123 ,36
1493,33309,95335 ,613
1494,33173,95903 ,"1,772"
1495,33162,93267 ,"6,962"
1496,33125,92368 ,"1,064"
1496,33125,95555 ,329
1498,33100,95968 ,"1,438"
1499,33036,95317 ,"1,033"
1500,33011,93249 ,"2,698"
1501,32898,93647 ,"11,926"
1502,32897,93501 ,"5,258"
1503,32783,93235 ,"4,044"
1504,32782,95428 ,"2,491"
1505,32750,93254 ,700
1506,32747,92411 ,"26,364"
1507,32721,96025 ,"2,102"
1508,32711,95521 ,"20,769"
1509,32710,92363 ,"5,355"
1510,32658,93728 ,"14,711"
1511,32635,93705 ,"38,130"
1512,32634,96052 ,"1,652"
1513,32500,96010 ,187
1513,32500,96126 ,133
1515,32471,93726 ,"42,618"
1516,32431,95432 ,348
1517,32361,95715 ,80
1518,32328,92233 ,"10,460"
1519,32319,95365 ,"4,796"
1520,32273,93223 ,"10,759"
1521,32233,95341 ,"33,744"
1522,32175,93648 ,"16,102"
1523,32125,93622 ,"9,747"
1524,32104,90018 ,"48,852"
1525,32067,90062 ,"32,675"
1526,32054,92281 ,"1,960"
1527,32045,92256 ,"3,631"
1528,31964,95543 ,551
1529,31932,95569 ,277
1530,31917,96091 ,578
1531,31912,93545 ,"2,099"
1532,31892,95934 ,504
1533,31886,93241 ,"18,474"
1534,31818,93650 ,"3,767"
1535,31771,93252 ,"3,665"
1536,31742,90028 ,"29,994"
1537,31544,93621 ,307
1538,31438,95686 ,965
1539,31403,90006 ,"61,419"
1540,31296,92266 ,62
1541,31250,93616 ,"2,126"
1541,31250,96074 ,199
1541,31250,96115 ,212
1544,31215,90813 ,"60,017"
1545,31214,90005 ,"38,638"
1546,31144,93285 ,"2,218"
1547,31111,93608 ,725
1548,31058,96058 ,752
1549,30997,94704 ,"26,334"
1550,30963,93301 ,"11,685"
1551,30879,94612 ,"14,500"
1552,30710,96023 ,"1,339"
1553,30708,93516 ,"2,271"
1554,30528,94621 ,"32,269"
1555,30500,96034 ,285
1556,30478,93562 ,"1,781"
1557,30214,90002 ,"50,098"
1558,30016,90003 ,"66,913"
1559,29952,96046 ,255
1560,29913,95560 ,"1,374"
1561,29889,90011 ,"102,926"
1562,29848,93283 ,"2,313"
1563,29812,93305 ,"37,871"
1564,29721,95815 ,"25,772"
1565,29708,95485 ,"2,508"
1566,29659,96109 ,731
1567,29511,92283 ,"2,334"
1568,29492,90012 ,"30,029"
1569,29362,92285 ,"2,731"
1570,29306,96033 ,526
1571,29304,93234 ,"6,896"
1572,29302,93204 ,"14,553"
1573,29250,95960 ,974
1574,29197,93706 ,"39,794"
1575,29063,95939 ,512
1576,29048,96104 ,548
1577,29030,93255 ,598
1578,29005,93261 ,"3,248"
1579,28958,94940 ,194
1580,28953,90015 ,"18,226"
1580,28953,96097 ,"9,790"
1582,28897,95486 ,54
1583,28750,96039 ,"1,206"
1584,28556,94922 ,492
1585,28472,95387 ,768
1586,28447,95824 ,"29,781"
1587,28406,93703 ,"34,122"
1588,28344,90044 ,"88,412"
1589,28285,93519 ,97
1590,28261,96133 ,160
1591,28185,92113 ,"57,580"
1592,28005,93518 ,986
1593,27938,93201 ,"1,173"
1594,27914,93646 ,"10,716"
1595,27890,92274 ,"18,937"
1596,27807,93270 ,"5,519"
1597,27727,96087 ,525
1598,27379,95423 ,"3,040"
1599,27361,93256 ,"6,035"
1600,27190,90033 ,"48,567"
1601,27163,92543 ,"34,680"
1602,27120,92410 ,"47,510"
1603,26958,93626 ,813
1604,26940,90057 ,"45,747"
1605,26852,92273 ,"1,228"
1606,26827,96041 ,"2,795"
1607,26813,93554 ,128
1608,26771,96110 ,129
1609,26667,92242 ,"1,235"
1609,26667,95464 ,"2,208"
1611,26638,90037 ,"61,536"
1612,26518,95585 ,454
1613,26491,92254 ,"12,300"
1614,26281,95546 ,"3,434"
1615,26250,95983 ,440
1615,26250,96112 ,230
1617,26223,93660 ,"4,621"
1618,26058,95548 ,"1,459"
1619,26054,93240 ,"5,667"
1620,26031,93702 ,"47,850"
1621,26000,93512 ,178
1622,25934,95422 ,"15,453"
1623,25741,93640 ,"12,140"
1624,25707,92258 ,520
1625,25662,96047 ,775
1626,25486,93558 ,267
1627,25327,93615 ,"5,923"
1628,25200,95914 ,555
1629,24814,95319 ,"1,581"
1630,24722,95922 ,595
1631,24625,96116 ,162
1632,24375,93260 ,175
1633,24276,93666 ,683
1634,24205,96015 ,814
1635,24127,94102 ,"28,013"
1636,24122,93266 ,"1,465"
1637,24118,93218 ,"1,009"
1638,24032,91931 ,331
1639,24009,93623 ,58
1640,23750,95554 ,325
1641,23542,96031 ,165
1642,23458,93219 ,"10,378"
1643,22917,93652 ,288
1644,22904,95559 ,103
1645,22893,95514 ,170
1646,22646,90007 ,"43,779"
1647,21979,95526 ,237
1648,21912,92259 ,269
1649,21875,96054 ,294
1650,21838,96086 ,379
1651,21429,95248 ,178
1652,21410,95427 ,227
1653,21333,94950 ,74
1654,21120,90013 ,"10,575"
1655,21009,90017 ,"23,719"
1656,20980,95458 ,"3,334"
1657,20972,96075 ,308
1658,20896,93258 ,"2,292"
1659,20349,93205 ,"2,065"
1660,20179,95224 ,266
1661,19922,95225 ,570
1662,19375,92275 ,"1,413"
1663,18750,96011 ,155
1664,18553,93701 ,"10,788"
1665,18220,92257 ,"1,757"
1666,17981,91046 ,168
1667,17134,90014 ,"6,659"
1668,16649,92401 ,"2,104"
1669,16537,95537 ,130
1670,16154,93606 ,604
1671,15988,90058 ,"2,748"
1672,15529,95443 ,268
1673,15023,95202 ,"5,409"
1674,14848,92341 ,294
1675,14688,96037 ,220
1676,14073,95679 ,48
1677,13906,93528 ,79
1678,13750,95511 ,452
1679,12748,90021 ,"2,913"
1680,12404,96049 ,90
1681,12000,92389 ,115
1682,11922,93721 ,"6,308"
1683,11250,93530 ,28
1684,10625,90089 ,"3,326"
1685,10481,95915 ,58
1686,6827,93669 ,284
